París | baguette
Elefante | gris
Pirata | parche
Volcán | ceniza
Biblioteca | silencio
Astronauta | casco
Chocolate | tableta
Desierto | espejismo
Dragón | escamas
Guitarra | cuerdas
Japón | cerezo
Tigre | rayas
Cine | palomitas
Castillo | torre
Fútbol | césped
Sirena | espuma
Reloj | agujas
Pizza | horno
Robot | metal
Montaña | cima
Mariposa | alas
Detective | lupa
Hospital | bata
Londres | lluvia
Tiburón | aleta
Circo | carpa
Avión | nube
Fantasma | sábana
Nueva York | rascacielos
Café | taza
Camaleón | color
Egipto | arena
Vampiro | colmillos
Tenis | red
Tren | vía
Helado | cucurucho
Bosque | musgo
León | melena
Barco | ancla
Luna | cráter
Chef | delantal
Isla | coco
Gladiador | arena
Cámara | flash
México | chile
Pingüino | frac
Teatro | telón
Jirafa | cuello
Internet | enlace
Roma | columna
Doctor | estetoscopio
Mago | chistera
Oceano | ola
Zombi | cementerio
Bicicleta | pedal
Perú | llama
Saxofón | jazz
Dinosaurio | fósil
Playa | sombrilla
Rey | corona
Ninja | sombra
Panadería | harina
Saturno | anillo
Taxi | amarillo
Bruja | escoba
Canadá | arce
Medusa | serpiente
Hamburguesa | pepinillo
Safari | prismáticos
Espejo | reflejo
Tesla | electricidad
Venecia | góndola
Faro | luz
Caballo | herradura
Ópera | soprano
Hacker | contraseña
Selva | liana
Grecia | mármol
Submarino | profundidad
Payaso | nariz
Baloncesto | aro
Cueva | eco
Einstein | bigote
India | especias
Bombero | sirena
Arcoiris | lluvia
Camión | carga
Cleopatra | papiro
Madrid | oso
Microscopio | célula
Skate | ruedas
Iglú | hielo
Karaoke | micrófono
Río | corriente
Mozart | peluca
Drag Queen | lentejuelas
Laboratorio | probeta
Muralla China | piedra
Rana | charca
Superman | capa
